Year,Name of the Municipality,Vehicles Available for Primary Collection - Push Cart,Vehicles Available for Primary Collection - Tri Cycles,Vehicles Available for Primary Collection - Auto,Vehicles Available for Primary Collection - Mini Lorry,Vehicles Available for Primary Collection - Tractor,Vehicles Available for Primary Collection - Power Tiller,Vehicles Available for Primary Collection - Others,Vehicles Available for Secondary Collection and Transportation - Dumper Placer,Vehicles Available for Secondary Collection and Transportation - Compactor,Vehicles Available for Secondary Collection and Transportation - Lorry,Vehicles Available for Secondary Collection and Transportation - Tractor,Vehicles Available for Secondary Collection and Transportation - Excavator cum front end Loader,Vehicles Available for Secondary Collection and Transportation - JCB,Vehicles Available for Secondary Collection and Transportation - Others,Storage Bins - Storage Bins,Storage Bins - Dumper Placer Bins,Storage Bins - Other Storage Bins,Land for compost yard in acres - Required (Acre),Land for compost yard in acres - Available (Acre),Land for compost yard in acres - Balance required (Acre)
2009,Chennai,2480,0,16,12,0,7,4,51,48,34,12,4,8,3,1754,1471,30,45,654.54,0
2009,Coimbatore,50,400,30,NA,NA,NA,NA,65,5,8,NA,5,5,NA,200,900,NA,NA,NA,NA
2009,Madurai,1480,0,0,0,0,0,0,28,4,0,5,1,1,47,260,429,587,47.7,47.7,0
2009,Tiruchirappali,43,250,2,0,0,0,0,6,4,10,1,0,4,0,287,155,0,47,92,0
2009,Salem,450,0,22,0,0,0,0,6,2,20,69,3,2,0,0,46,0,0,136.5,0
2009,Tirunelveli,325,71,NA,NA,NA,3,NA,16,1,5,14,NA,1,NA,1300,371,54,50,30.87,20
2009,Tiruppur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Erode,2,84,NA,NA,1,NA,NA,4,NA,NA,1,NA,1,NA,NA,108,NA,36,36,NA
2009,Vellore,107,100,4,NA,NA,5,NA,5,2,7,8,NA,NA,NA,NA,152,52,50,23.07,27
2009,Thootukudi,NA,NA,6,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,30,NA,6.4,6.84,-0.44
2010,Chennai,2480,0,16,12,0,7,4,51,48,34,12,4,8,3,1754,1471,30,45,654.54,0
2010,Coimbatore,50,400,30,NA,NA,NA,NA,65,5,8,NA,5,5,NA,200,900,NA,NA,NA,NA
2010,Madurai,1480,0,0,0,0,0,0,28,4,0,5,1,1,47,260,429,587,47.7,47.7,0
2010,Tiruchirappali,43,250,2,0,0,0,0,6,4,10,1,0,4,0,287,155,0,47,92,0
2010,Salem,450,0,22,0,0,0,0,6,2,20,69,3,2,0,0,46,0,0,136.5,0
2010,Tirunelveli,325,71,NA,NA,NA,3,NA,16,1,5,14,NA,1,NA,1300,371,54,50,30.87,20
2010,Tiruppur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Erode,2,84,NA,NA,1,NA,NA,4,NA,NA,1,NA,1,NA,NA,108,NA,36,36,NA
2010,Vellore,107,100,4,NA,NA,5,NA,5,2,7,8,NA,NA,NA,NA,152,52,50,23.07,27
2010,Thootukudi,NA,NA,6,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,30,NA,6.4,6.84,-0.44
2011,Chennai,2480,0,16,12,0,7,4,51,48,34,12,4,8,3,1754,1471,30,45,654.54,0
2011,Coimbatore,50,400,30,NA,NA,NA,NA,65,5,8,NA,5,5,NA,200,900,NA,NA,NA,NA
2011,Madurai,1480,0,0,0,0,0,0,28,4,0,5,1,1,47,260,429,587,47.7,47.7,0
2011,Tiruchirappali,43,250,2,0,0,0,0,6,4,10,1,0,4,0,287,155,0,47,92,0
2011,Salem,450,0,22,0,0,0,0,6,2,20,69,3,2,0,0,46,0,0,136.5,0
2011,Tirunelveli,325,71,NA,NA,NA,3,NA,16,1,5,14,NA,1,NA,1300,371,54,50,30.87,20
2011,Tiruppur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Erode,2,84,NA,NA,1,NA,NA,4,NA,NA,1,NA,1,NA,NA,108,NA,36,36,NA
2011,Vellore,107,100,4,NA,NA,5,NA,5,2,7,8,NA,NA,NA,NA,152,52,50,23.07,27
2011,Thootukudi,NA,NA,6,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,30,NA,6.4,6.84,-0.44
2012,Chennai,2480,0,16,12,0,7,4,51,48,34,12,4,8,3,1754,1471,30,45,654.54,0
2012,Coimbatore,50,400,30,NA,NA,NA,NA,65,5,8,NA,5,5,NA,200,900,NA,NA,NA,NA
2012,Madurai,1480,0,0,0,0,0,0,28,4,0,5,1,1,47,260,429,587,47.7,47.7,0
2012,Tiruchirappali,43,250,2,0,0,0,0,6,4,10,1,0,4,0,287,155,0,47,92,0
2012,Salem,450,0,22,0,0,0,0,6,2,20,69,3,2,0,0,46,0,0,136.5,0
2012,Tirunelveli,325,71,NA,NA,NA,3,NA,16,1,5,14,NA,1,NA,1300,371,54,50,30.87,20
2012,Tiruppur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Erode,2,84,NA,NA,1,NA,NA,4,NA,NA,1,NA,1,NA,NA,108,NA,36,36,NA
2012,Vellore,107,100,4,NA,NA,5,NA,5,2,7,8,NA,NA,NA,NA,152,52,50,23.07,27
2012,Thootukudi,NA,NA,6,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,30,NA,6.4,6.84,-0.44
